tray,pop,temp,ph,time,status
fr01,FRA,13,8,28,1
fr01,FRA,13,8,28,1
fr01,FRA,13,8,21,0
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,21,1
fr01,FRA,13,8,13,0
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,13,1
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,0
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr01,FRA,13,8,6,1
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,0
fr02,FRA,13,8,28,1
fr02,FRA,13,8,28,1
fr02,FRA,13,8,28,1
fr02,FRA,13,8,21,0
fr02,FRA,13,8,21,1
fr02,FRA,13,8,21,1
fr02,FRA,13,8,21,1
fr02,FRA,13,8,13,0
fr02,FRA,13,8,13,0
fr02,FRA,13,8,13,0
fr02,FRA,13,8,13,0
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,13,1
fr02,FRA,13,8,6,0
fr02,FRA,13,8,6,0
fr02,FRA,13,8,6,0
fr02,FRA,13,8,6,0
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr02,FRA,13,8,6,1
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
fr03,FRA,13,8,28,0
